word,meaning
adaptable,1.adj. 适合的；能适应的；可修改的[新经济人高频]
adapted,1.v. 使适应，改编（adapt的过去式） 2.adj. 适合的[新经济人高频]
addressing,1.n. 寻址，定址；访问[新经济人高频]
adept,1.n. 内行；能手 2.adj. 熟练的；擅长…的[新经济人高频]
adequate,1.adj. 充足的；适当的；胜任的[新经济人高频]
adjusted,1.v. 调整；校正（adjust的过去分词） 2.adj. 调整过的，调节了的[新经济人高频]
adjustment,1.n. 调整，调节；调节器[新经济人高频]
Administration,1.n. 管理；行政；实施；行政机构[新经济人高频]
administrative,1.adj. 管理的，行政的[新经济人高频]
admission,1.n. 承认；入场费；进入许可；坦白；录用[新经济人高频]
admitting,1.v. 承认（admit的ing形式）[新经济人高频]
Adobe,1.n. 土砖，砖坯[新经济人高频]
advancing,1.v. 前进；超前（advance的ing形式） 2.adj. 前进的；年长的[新经济人高频]
adventure,1.n. 冒险；冒险精神；投机活动 2.vt. 冒险；大胆说出 3.vi. 冒险[新经济人高频]
advertise,1.vt. 通知；为…做广告；使突出 2.vi. 做广告，登广告；作宣传[新经济人高频]
advocacy,1.n. 主张；拥护；辩护[新经济人高频]
advocate,1.n. 提倡者；支持者；律师 2.vt. 提倡，主张，拥护[新经济人高频]
aerospace,1.n. 航空宇宙；[航] 航空航天空间[新经济人高频]
affable,1.adj. 和蔼可亲的；友善的[新经济人高频]
Affairs,1.n. 事务，事宜；风流韵事[新经济人高频]
affects,1.n. 感情；引起感情的因素；情绪反应（affect的复数） 2.v. 影响；喜欢（affect的三单形式）；假装[新经济人高频]
afloat,1.adj. 在海上的；飘浮的；浸满水的；在传播的 2.adv. 在海上；飘浮著；浸满水[新经济人高频]
aft,1.n. 自动存款取款 2.adv. [船] 在船尾；近船尾 3.n. (Aft)人名；(英)阿夫特[新经济人高频]
aggressive,1.adj. 侵略性的；好斗的；有进取心的；有闯劲的[新经济人高频]
aggressively,1.adv. 侵略地；攻击地；有闯劲地[新经济人高频]
aggrieved,1.v. 侵害，伤害（aggrieve的过去分词形式）；使悲痛 2.adj. 受委屈的，愤愤不平的；权利受到不法侵害的[新经济人高频]
aglitter,1.adj. 灿烂的 2.adv. 灿烂地[新经济人高频]
agnostic,1.n. 不可知论者 2.adj. 不可知论的[新经济人高频]
agreeing,1.v. 同意（agree的ing形式）[新经济人高频]
Agriculture,1.n. 农业；农耕；农业生产；农艺，农学[新经济人高频]
aiming,1.n. 目标；瞄准；导航，引导 2.v. 针对；瞄准；旨在（aim的ing形式）；力求[新经济人高频]
aired,1.通风 2.夸耀 3.晾干（air的过去式和过去分词）[新经济人高频]
airtime,1.n. 电影或电视节目开始的时间[新经济人高频]
alacrity,1.n. 敏捷；轻快；乐意[新经济人高频]
Alan,1.n. 艾伦（男子名）[新经济人高频]
alarmed,1.v. 报警（alarm的过去式及过去分词） 2.adj. 惊恐的；受惊的；焦虑的[新经济人高频]
Alas,1.int. 唉（表悲伤、遗憾、恐惧、关切等等） 2.n. (Alas)人名；(西、葡、捷、土)阿拉斯[新经济人高频]
Alberta,1.n. 亚伯达（加拿大西部的一个省）[新经济人高频]
Alberto,1.n. 阿尔贝托（阿塞拜疆教练）[新经济人高频]
alcove,1.n. 凹室；壁龛 2.n. (Alcove)人名；(法)阿尔科夫[新经济人高频]
alert,1.n. 警戒，警惕；警报 2.adj. 警惕的，警觉的；留心的 3.vt. 警告；使警觉，使意识到 4.n. (Alert)人名；(西)阿莱尔特[新经济人高频]
Algeria,1.n. 阿尔及利亚（北非国家）[新经济人高频]
alien,1.n. 外国人，外侨；外星人 2.adj. 外国的；相异的，性质不同的；不相容的 3.vt. 让渡，转让 4.n. (Alien)人名；(法)阿利安[新经济人高频]
alienated,1.v. 使疏离（alienate的过去式） 2.adj. 疏远的；被疏远的[新经济人高频]
aliens,1.n. 外星人（alien的复数）；外国人 2.v. 使疏远（alien的单三形式）[新经济人高频]
alight,1.adj. 烧着的；点亮着的 2.vi. 下来；飞落[新经济人高频]
aligned,1.v. 结盟（align的过去式）；使成一直线 2.adj. 对齐的；均衡的[新经济人高频]
all at once,1.突然[新经济人高频]
all too,1.实在太…[新经济人高频]
allay,1.vt. 减轻；使缓和；使平静[新经济人高频]
allegiance,1.n. 效忠，忠诚；忠贞[新经济人高频]
alley,1.n. 小巷；小路；小径 2.n. (Alley)人名；(英)阿利[新经济人高频]
alliteration,1.n. 头韵；同音韵错误症[新经济人高频]
Alps,1.n. 阿尔卑斯山脉[新经济人高频]
alter,1.vt. 改变，更改 2.vi. 改变；修改 3.n. (Alter)人名；(英)奥尔特；(德、捷、葡、爱沙、立陶、拉脱、俄、西、罗、瑞典)阿尔特[新经济人高频]
alumni,1.n. 男校友；男毕业生（alumnus的复数）[新经济人高频]
ambivalent,1.adj. 矛盾的；好恶相克的[新经济人高频]
amendment,1.n. 修正案；改善；改正[新经济人高频]
amendments,1.n. 修正（amendment的复数）；修正案[新经济人高频]
ammunition,1.n. 弹药；军火 2.vt. 装弹药于 3.vi. 装弹药[新经济人高频]
amnesty,1.n. 大赦，特赦 2.vt. 对…实行大赦[新经济人高频]
amount to,1.相当于，总计为[新经济人高频]
ample,1.adj. 丰富的；足够的；宽敞的 2.n. (Ample)人名；(西)安普尔[新经济人高频]
analysed,1.v. 分析（analyse的过去分词）[新经济人高频]
analyses,1.n. 分析；解析；分解；梗概（analysis的复数形式）[新经济人高频]
Anderson,1.n. 安德森（男子名）；安德森市（美国印第安纳州）[新经济人高频]
annexation,1.n. 合并；附加物[新经济人高频]
announce,1.vt. 宣布；述说；预示；播报 2.vi. 宣布参加竞选；当播音员[新经济人高频]
anomaly,1.n. 异常；不规则；反常事物[新经济人高频]
Anthony,1.n. 安东尼（人名）[新经济人高频]
antibodies,1.n. [免疫] 抗体（antibody的复数）[新经济人高频]
anti-Semitic,1.adj. 反对犹太人的；排犹的[新经济人高频]
anything but,1.根本不，决不[新经济人高频]
apiece,1.adv. 每人；每个；各自地[新经济人高频]
Apollo,1.n. 阿波罗（太阳神）；美男子[新经济人高频]
appalling,1.adj. 可怕的；令人震惊的 2.v. 使惊愕；惊吓（appal的ing形式）[新经济人高频]
appealed,1.v. 呼吁（appeal的过去分词）；求助；诉请[新经济人高频]
appearance,1.n. 外貌，外观；出现，露面[新经济人高频]
application,1.n. 应用；申请；应用程序；敷用[新经济人高频]
appointment,1.n. 任命；约定；任命的职位[新经济人高频]
appreciation,1.n. 欣赏，鉴别；增值；感谢[新经济人高频]
apprentice,1.n. 学徒；生手 2.vt. 使…当学徒 3.vi. 当学徒[新经济人高频]
Aquino,1.阿基诺（人名）[新经济人高频]
Arabian,1.n. 阿拉伯人 2.adj. 阿拉伯的；阿拉伯人的[新经济人高频]
Arabic,1.n. 阿拉伯语 2.adj. 阿拉伯的；阿拉伯人的[新经济人高频]
architect,1.n. 建筑师 2.缔造者[新经济人高频]
Argentines,1.银（argentine的名词复数） 2.银色素 3.银色工艺材料[新经济人高频]
argot,1.n. 隐语；暗语；暗号；俚语；黑话[新经济人高频]
Armenians,1.n. 亚美尼亚人（Armenian的复数）[新经济人高频]
arming,1.n. 武装；装备；徽章[新经济人高频]
arrangement,1.n. 布置；整理；准备[新经济人高频]
arrests,1.n. [法] 拘留（arrest的复数）；停止点；临界点 2.v. [法] 逮捕；阻止（arrest的单三形式）[新经济人高频]
artery,1.n. 动脉；干道；主流[新经济人高频]
ash,1.n. 灰；灰烬 2.n. (Ash)人名；(英、俄、捷)阿什[新经济人高频]
Aside,1.prep. 在…旁边 2.n. 旁白；私语，悄悄话；离题的话 3.adv. 离开，撇开；在旁边[新经济人高频]
aspirations,1.n. 愿望[新经济人高频]
assaults,1.n. 攻击（assault的复数） 2.vt. 攻击；袭击（assault的第三人称单数）[新经济人高频]
assembled,1.v. 装配（assemble的过去分词）；集合 2.adj. 组合的；安装的[新经济人高频]
assert,1.vt. 维护，坚持；断言；主张；声称[新经济人高频]
assertive,1.adj. 肯定的；独断的；坚定而自信的[新经济人高频]
assist,1.n. 帮助；助攻 2.vi. 参加；出席 3.vt. 帮助；促进[新经济人高频]
assistant,1.n. 助手，助理，助教 2.adj. 辅助的，助理的；有帮助的[新经济人高频]
assumes,1.假定 2.假设[新经济人高频]
assumptions,1.n. 假定，设想（assumption复数形式）[新经济人高频]
assured,1.n. 被保险人 2.v. 保证；确实（assure的过去分词） 3.adj. 确定的；自信的[新经济人高频]
asteroid,1.n. [天] 小行星；[无脊椎] 海盘车；小游星 2.adj. 星状的[新经济人高频]
asthma,1.n. [内科][中医] 哮喘，气喘[新经济人高频]
astonishing,1.adj. 惊人的；令人惊讶的 2.v. 使…惊讶；使…诧异（astonish的ing形式）[新经济人高频]
AstraZeneca,1.n. 阿斯利康（公司名）[新经济人高频]
astringent,1.n. [药] 收敛剂；止血药 2.adj. 涩的；收敛性的；止血的；严厉的[新经济人高频]
astronomers,1.天文学家[新经济人高频]
astute,1.adj. 机敏的；狡猾的，诡计多端的[新经济人高频]
at best,1.最多[新经济人高频]
atheist,1.n. 无神论者[新经济人高频]
atomic,1.adj. 原子的，原子能的；微粒子的[新经济人高频]
attracting,1.诱集[新经济人高频]
auctions,1.n. [贸易] 拍卖（auction的复数） 2.v. [贸易] 拍卖（auction的三单形式）[新经济人高频]
audit,1.n. 审计；[审计] 查帐 2.vt. （美）旁听 3.vi. 审计；[审计] 查帐[新经济人高频]
auditor,1.n. 审计员；听者；旁听生[新经济人高频]
augment,1.n. 增加；增大 2.vt. 增加；增大 3.vi. 增加；增大[新经济人高频]
Auschwitz,1.n. 奥许维次（波兰城市名） 2.n. (Auschwitz)人名；(德)奥施维茨[新经济人高频]
Austria,1.n. 奥地利[新经济人高频]
Austrian,1.n. 奥地利人 2.adj. 奥地利的；奥地利人的[新经济人高频]
autobiography,1.n. 自传；自传文学[新经济人高频]
automatically,1.adj. 不经思索的 2.adv. 自动地；机械地；无意识地[新经济人高频]
automation,1.n. 自动化；自动操作[新经济人高频]
autopsy,1.n. 验尸；[病理][特医] 尸体解剖；[病理][特医] 尸体剖检[新经济人高频]
averaged,1.v. 平均（average的过去式） 2.adj. 平均的[新经济人高频]
avert,1.vt. 避免，防止；转移[新经济人高频]
avuncular,1.adj. 伯父的；叔伯的；慈祥的[新经济人高频]
award,1.n. 奖品；判决 2.vt. 授予；判定[新经济人高频]
awarding,1.n. 颁奖（award的现在时，动名词形式）；获奖情况[新经济人高频]
awe,1.n. 敬畏 2.vt. 使敬畏；使畏怯 3.n. (Awe)人名；(德)阿韦[新经济人高频]
backers,1.n. (Backers)人名；(英)巴克斯[新经济人高频]
bait,1.n. 饵；诱饵 2.vt. 引诱；在…中放诱饵；折磨 3.vi. 中途休息 4.n. (Bait)人名；(意)巴伊特[新经济人高频]
ballots,1.n. 选举（ballot的复数）；不记名票 2.v. 投票（ballot的第三人称单数）[新经济人高频]
Baltic,1.n. 波罗的海 2.adj. 波罗的海的[新经济人高频]
Baltimore,1.n. 巴尔的摩（美国一座港市）[新经济人高频]
bandit,1.n. 强盗，土匪；恶棍；敲诈者[新经济人高频]
bands,1.n. 乐队；法官[新经济人高频]
Bang,1.n. 刘海；重击；突然巨响 2.vt. 重击；发巨响 3.adv. 直接地；砰然地；突然巨响地 4.n. (Bang)人名；(英、乍)班；(芬、德、丹)邦[新经济人高频]
banish,1.vt. 放逐；驱逐 2.n. (Banish)人名；(英)巴尼什[新经济人高频]
banner,1.n. 旗帜，横幅；标语 2.n. (Banner)人名；(英、德、罗)班纳[新经济人高频]
baptism,1.n. 洗礼；严峻考验[新经济人高频]
Barbara,1.n. 芭芭拉（女子名）[新经济人高频]
Barclays,1.n. 巴克莱银行（公司名，财富500强公司之一，总部所在地英国，主要经营银行）[新经济人高频]
bargaining,1.n. 讨价还价；交易；交涉 2.v. 讨价还价；交易（bargain的ing形式）[新经济人高频]
barometer,1.n. [气象] 气压计；睛雨表；显示变化的事物[新经济人高频]
barring,1.prep. 除非；不包括；除…以外 2.v. 阻拦（bar的ing形式） 3.n. (Barring)人名；(德)巴林[新经济人高频]
barter,1.n. 易货贸易；物物交换；实物交易 2.vt. 以…作为交换；拿…进行易货贸易 3.vi. 进行易货贸易；[贸易] 作物物交换；讨价还价 4.n. (Barter)人名；(英)巴特[新经济人高频]
Based,1.v. 立基于，以…为基础（base的过去式和过去分词） 2.adj. 有根基的[新经济人高频]
batch,1.n. 一批；一炉；一次所制之量 2.vt. 分批处理 3.n. (Batch)人名；(英)巴奇[新经济人高频]
batter,1.n. 击球手；（用鸡蛋、牛奶、面粉等调成的）糊状物；墙面的倾斜 2.vt. 猛击；打坏；使向上倾斜 3.vi. 接连猛击；向上倾斜 4.n. (Batter)人名；(罗)巴特尔[新经济人高频]
battled,1.有雉堞的；有城垛的[新经济人高频]
Bay,1.n. 海湾；狗吠声 2.vt. 向…吠叫 3.vi. 吠叫；大声叫嚷 4.n. (Bay)人名；(越)七；(英、老)贝；(德、意、罗、捷、土、丹)巴伊；(匈)鲍伊；(瑞典)巴伊[新经济人高频]
beach,1.n. 海滩；湖滨 2.vt. 将…拖上岸 3.vi. 搁浅；定居 4.n. (Beach)人名；(英)比奇[新经济人高频]
beached,1.n. 海滩；湖滨 2.vt. 将…拖上岸 3.vi. 搁浅；定居 4.n. (Beach)人名；(英)比奇[新经济人高频]
bears,1.n. 熊（bear的复数）；空头（卖空的证券交易投机）[新经济人高频]
befit,1.vt. 适合于；为…该做的；对…适当[新经济人高频]
belonging,1.n. 所有物；行李；附属物[新经济人高频]
belongs,1.v. 属于（belong的第三人称单数）[新经济人高频]
belt-tightening,1.n. 强制性节约 2.adj. 节省开支的，节约的 3.v. 实行紧缩政策（belt-tighten的ing形式）[新经济人高频]
bemoan,1.vt. 惋惜；为…恸哭 2.vi. 叹息[新经济人高频]
beneficial,1.adj. 有益的，有利的；可享利益的[新经济人高频]
Bennett,1.n. 班尼特（男子名，等于Benedict）[新经济人高频]
bereaved,1.n. 丧失亲人的人 2.adj. 丧失的；死了…的 3.vt. 使丧失（bereave的过去式和过去分词）[新经济人高频]
bereft,1.adj. 丧失的；被剥夺的；失去亲人的 2.v. 失去…的（bereave的过去式）[新经济人高频]
Berkeley,1.n. 贝克莱（爱尔兰主教及哲学家）；伯克利（姓氏）；伯克利（美国港市）[新经济人高频]
beside,1.prep. 在旁边；与…相比；和…无关[新经济人高频]
bestselling,1.adj. 畅销的[新经济人高频]
bewildering,1.adj. 使人困惑的；令人产生混乱的 2.v. 使迷惑（bewilder的ing形式）[新经济人高频]
bias,1.n. 偏见；偏爱；斜纹；乖离率 2.adj. 偏斜的 3.vt. 使存偏见 4.adv. 偏斜地 5.n. (Bias)人名；(法、德、葡、喀)比亚斯；(英)拜厄斯[新经济人高频]
Bible,1.n. 有权威的书[新经济人高频]
bicker,1.n. 吵嘴；口角；（水的）潺潺声 2.vi. 闪动；斗嘴；潺潺而流 3.n. (Bicker)人名；(德)比克尔[新经济人高频]
bile,1.n. 胆汁；愤怒 2.n. (Bile)人名；(意、塞、土、索)比莱[新经济人高频]
bilge,1.n. 舱底；舱底污水；无聊的话 2.n. (Bilge)人名；(-734)毗伽(东突厥可汗)；(土)比尔盖 3.vt. 使船底漏水；勒令退学 4.vi. 船底穿洞；搁浅[新经济人高频]
billow,1.vt. 使翻腾 2.vi. 翻腾 3.n. 巨浪 4.n. (Billow)人名；(瑞典)比洛[新经济人高频]
bind,1.n. 捆绑；困境；讨厌的事情；植物的藤蔓 2.vt. 绑；约束；装订；包扎；凝固 3.vi. 结合；装订；有约束力；过紧 4.n. (Bind)人名；(德)宾德[新经济人高频]
binge,1.n. 狂欢，狂闹；放纵 2.n. (Binge)人名；(英)宾奇 3.vt. 放纵 4.vi. 狂饮作乐；大吃大喝[新经济人高频]
biological,1.adj. 生物的；生物学的[新经济人高频]
biotech,1.abbr. 生物技术；生物科技（biotechnology）[新经济人高频]
bipartisan,1.adj. 两党连立的；代表两党的[新经济人高频]
bisect,1.vt. 平分；二等分 2.vi. 横贯；一分为二[新经济人高频]
bishop,1.n. 主教 2.象[新经济人高频]
bizarre,1.adj. 奇异的（指态度，容貌，款式等）[新经济人高频]
blackout,1.n. 灯火管制；灯火熄灭；暂时的意识丧失[新经济人高频]
BlackRock,1.n. 黑石集团（美国一家债券基金管理公司）[新经济人高频]
blames,1.vt. 责备；归咎于 2.n. 责备；责任；过失[新经济人高频]
bland,1.adj. 乏味的；温和的；冷漠的 2.vt. 使…变得淡而无味；除掉…的特性 3.vi. 变得平淡无奇；丧失特性 4.n. (Bland)人名；(英)布兰德[新经济人高频]
blanket,1.n. 毛毯，毯子；毯状物，覆盖层 2.adj. 总括的，全体的；没有限制的 3.vt. 覆盖，掩盖；用毯覆盖[新经济人高频]
blatant,1.adj. 喧嚣的；公然的；炫耀的；俗丽的[新经济人高频]
bleach,1.n. 漂白剂 2.vt. 使漂白，使变白 3.vi. 变白，漂白[新经济人高频]
blend,1.n. 混合；掺合物 2.vi. 混合；协调 3.vt. 混合[新经济人高频]
bloated,1.adj. 发胀的，浮肿的；傲慢的 2.v. 肿胀，得意（bloat的过去时形式）[新经济人高频]
bloc,1.n. 集团 2.n. (Bloc)人名；(法、罗)布洛克[新经济人高频]
blocking,1.n. 阻塞；封闭；大块 2.v. 阻塞（block的ing形式）[新经济人高频]
bloom,1.n. 花；青春；旺盛 2.vt. 使开花；使茂盛 3.vi. 开花；茂盛 4.n. (Bloom)人名；(瑞典、西)布洛姆；(英)布卢姆[新经济人高频]
Bloomberg,1.n. 彭博社；彭博资讯[新经济人高频]
bluster,1.n. 怒号；吓唬 2.vi. 咆哮；恫吓 3.vt. 咆哮；狂吹；夸口；威吓；气势汹汹地说[新经济人高频]
boast,1.n. 自夸；值得夸耀的事物，引以为荣的事物 2.vi. 自吹自擂 3.vt. 夸口说，自吹自擂说；以有…而自豪 4.n. (Boast)人名；(英)博斯特[新经济人高频]
boasted,1.v. v.有（引以为荣的事物）( boast的过去式和过去分词 )； 扬言[新经济人高频]
Boehner,1.博纳（人名）[新经济人高频]
Boeing,1.n. 波音（客机）[新经济人高频]
bog,1.n. 沼泽；泥塘 2.vt. 使陷于泥沼；使动弹不得 3.vi. 陷于泥沼；动弹不得 4.n. (Bog)人名；(德、挪)博格[新经济人高频]
bogus,1.n. 伪币 2.adj. 假的；伪造的[新经济人高频]
boil down to,1.归结为[新经济人高频]
boldly,1.adv. 大胆地；冒失地；显眼地[新经济人高频]
bolstered,1.支撑着的（bloster的变体） 2.加固的（bloster的变体）[新经济人高频]
bolt,1.n. 螺栓，螺钉；闪电，雷电；门闩；弩箭 2.vt. 筛选；囫囵吞下；（把门、窗等）闩上；突然说出，脱口说出 3.vi. （门窗等）闩上，拴住；冲出，跳出；（马等的）脱缰；囫囵吞下 4.adv. 突然地；像箭似地；直立地[新经济人高频]
bombings,1.n. [军] 轰炸，[军] 投弹 2.v. 轰击；引爆炸弹（bomb的ing形式）[新经济人高频]
bona fide,1.adj. 善意的；真实的；真诚的 2.adv. 善意地；真实地；真诚地[新经济人高频]
bonanza,1.n. 富矿带；带来好运之事；幸运[新经济人高频]
Bond,1.n. 债券；结合；约定；粘合剂 2.vt. 使结合；以…作保 3.vi. 结合，团结在一起 4.n. (Bond)人名；(英、德、西、刚(金)、瑞典)邦德[新经济人高频]
bonfire,1.n. 篝火；营火[新经济人高频]
bonuses,1.n. 奖金（bonus的复数形式）[新经济人高频]
boon,1.n. 恩惠；福利；利益 2.adj. 愉快的；慷慨的 3.n. (Boon)人名；(英)布恩；(东南亚国家华语)文；(瑞典、德)博恩；(泰)汶[新经济人高频]
booze,1.n. 酒；酒宴 2.vi. 豪饮；痛饮 3.n. (Booze)人名；(英)布兹[新经济人高频]
borough,1.n. 区；自治的市镇 2.n. (Borough)人名；(英)伯勒[新经济人高频]
borrowed,1.v. 借；模仿；采用（borrow的过去分词） 2.adj. 借来的；虚构的[新经济人高频]
Bosnia,1.n. 波斯尼亚；波士尼亚[新经济人高频]
botch,1.n. 难看的补缀；笨拙的修补；笨拙的工作 2.vi. 拙笨地修补；弄坏某事物 3.vt. 糟蹋；拙笨地修补；拙劣地拼凑[新经济人高频]
Botox,1.n. 肉毒杆菌；肉毒杆菌毒素；肉毒杆菌毒素制剂；波托克斯[新经济人高频]
bottleneck,1.n. 瓶颈；障碍物[新经济人高频]
bottom-up,1.adj. [计] 自底向上的；从细节到总体的[新经济人高频]
boulder,1.n. 卵石，大圆石；巨砾[新经济人高频]
boulevard,1.n. [建] 林荫大道；（美）大马路 2.adj. 娱乐性的 3.vt. 给…提供林阴大街；把…建成林阴大街[新经济人高频]
bounced,1.n. 空头支票 2.v. 反弹；弹跳（bounce的过去分词）；跳起；开空头支票[新经济人高频]
bound,1.n. 范围；跳跃 2.adj. 有义务的；受约束的；装有封面的 3.vt. 束缚；使跳跃 4.vi. 限制；弹起[新经济人高频]
boundary,1.n. 边界；范围；分界线[新经济人高频]
bounty,1.n. 慷慨；丰富；奖励金；赠款 2.vt. 发给…奖金等；为…而发给赏金 3.vi. 以赏金等形式发放[新经济人高频]
bout,1.n. 回合；较量；发作；一阵 2.n. (Bout)人名；(法)布特[新经济人高频]
brag,1.n. 吹牛，自夸 2.vi. 吹牛，自夸 3.vt. 吹牛，吹嘘 4.n. (Brag)人名；(瑞典)布拉格[新经济人高频]
brawl,1.n. 争吵；打架 2.vt. 大声喊出；为…争吵 3.vi. 争吵；打架；大喊大叫[新经济人高频]
brazen,1.adj. 厚颜无耻的；黄铜制的 2.vt. 使变得无耻；厚脸皮地做[新经济人高频]
breach,1.n. 违背，违反；缺口 2.vt. 违反，破坏；打破[新经济人高频]
break ground,1.破土动工；创办；起锚；犁田[新经济人高频]
Breaking,1.n. 破坏；阻断 2.v. 破坏（break的ing形式）[新经济人高频]
breakthroughs,1.突破[新经济人高频]
breathe,1.vi. 呼吸；低语；松口气；（风）轻拂 2.vt. 呼吸；使喘息；流露；低声说[新经济人高频]
Brian,1.n. 布莱恩（男子名）[新经济人高频]
briefing,1.n. 简报；作战指示 2.v. 概述；作…的摘要（brief的现在分词）[新经济人高频]
brill,1.n. 一种可食用的欧洲比目鱼；鲽类鱼 2.n. (Brill)人名；(英、法、德、西、瑞典、俄、罗、匈)布里尔[新经济人高频]
brilliant,1.adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的[新经济人高频]
bristle,1.n. 猪鬃；刚毛 2.vi. 发怒；竖起 3.vt. 使（毛发等）直立[新经济人高频]
broadband,1.n. 宽频；宽波段 2.adj. 宽频带的；宽波段的；宽频通讯的[新经济人高频]
broaden,1.vt. 使扩大；使变宽 2.vi. 扩大，变阔；变宽，加宽[新经济人高频]
Bruce,1.n. 布鲁斯（男名）[新经济人高频]
brutality,1.n. 无情；残忍；暴行（需用复数形式）[新经济人高频]
bubbles,1.n. 泡沫；气泡（bubble的复数） 2.v. 沸腾；冒泡；发出气泡声（bubble的第三人称单数形式）[新经济人高频]
buck,1.n. （美）钱，元；雄鹿；纨绔子弟；年轻的印第安人或黑人 2.n. (Buck)人名；(英、西)巴克；(法)比克；(德、瑞典、匈)布克[新经济人高频]
budgetary,1.adj. 预算的[新经济人高频]
built-in,1.n. 内置 2.adj. 嵌入的；固定的[新经济人高频]
Bulgaria,1.n. 保加利亚[新经济人高频]
bullets,1.n. [军] 子弹（bullet的复数形式）[新经济人高频]
bully,1.n. 欺凌弱小者；土霸 2.vt. 欺负；威吓 3.adj. 第一流的；特好的 4.vi. 欺侮人 5.adv. 很；十分 6.int. 好；妙 7.n. (Bully)人名；(法)布利[新经济人高频]
bullying,1.n. 恃强欺弱的行为 2.v. 欺负（bully的现在分词）[新经济人高频]
Bundestag,1.n. 西德连邦议会[新经济人高频]
buoy,1.n. [水运] 浮标；浮筒；救生圈；航标 2.vt. 使浮起；支撑；鼓励 3.n. (Buoy)人名；(柬)贝[新经济人高频]
buoyed,1.[水运] 浮标[新经济人高频]
bursting,1.v. 爆炸；猛然打开；突然开始（burst的ing形式） 2.adj. 充满的；渴望的[新经济人高频]
business-friendly,1.商业友好[新经济人高频]
bust,1.n. 破产；半身像；萧条；胸部 2.adj. 破产了的；毁坏了的 3.vt. 使破产；使爆裂；逮捕 4.vi. 破产；爆裂；降低级别 5.n. (Bust)人名；(德)布斯特[新经济人高频]
buttons,1.n. [电] 按钮（button的复数形式）；纽扣[新经济人高频]
buyer,1.n. 买主；采购员 2.n. (Buyer)人名；(英)拜尔；(法)比耶；(德)布耶尔[新经济人高频]
by and by,1.不久以后[新经济人高频]
by and large,1.大体上，总的来说[新经济人高频]
bystander,1.n. 旁观者；看热闹的人[新经济人高频]
cable,1.n. 缆绳；电缆；海底电报 2.vt. 打电报 3.vi. 打海底电报[新经济人高频]
calculations,1.n. [数] 计算，运算（calculation的复数形式）；计算器[新经济人高频]
calibrate,1.vt. 校正；调整；测定口径[新经济人高频]
Californian,1.n. 加利福尼亚州人 2.adj. 加州的；加利福尼亚的[新经济人高频]
caliphate,1.n. 伊斯兰教国王的职权或其领域[新经济人高频]
call for,1.要求；需要；提倡；邀请；为…叫喊[新经济人高频]
callous,1.n. 硬皮；老茧 2.adj. 无情的；麻木的；硬结的；起老茧的 3.vt. 使冷酷无情；使硬结；使生茧 4.vi. 变得冷酷无情；结茧；变硬[新经济人高频]
