word,meaning
aleatory,a.侥幸的，偶然的[红宝书]
alert,a.警惕的，机警的; n.警报[红宝书]
alienate,v.疏远，离间某人[红宝书]
alienation,n.疏远，离间[红宝书]
allay,v.减轻，缓和[红宝书]
allegiance,n.忠诚，拥护[红宝书]
allegory,n.寓言[红宝书]
allergic,a.过敏的；对…讨厌的[红宝书]
alleviate,v.缓和，减轻[红宝书]
allocate,v.配给，分配[红宝书]
allot,v.拨出；分配[红宝书]
allowance,n.津贴，补助；承认，允许[红宝书]
alloy,n.合金[红宝书]
allude,v.间接提到，暗指[红宝书]
allure,v.引诱，诱惑[红宝书]
alluring,a.吸引人的，迷人的[红宝书]
allusion,n.暗示，间接提示[红宝书]
allusive,adj.暗指的，间接提到的[红宝书]
ally,v.结盟，联合  n.同盟者，伙伴[红宝书]
aloof,a.冷淡的，疏远的[红宝书]
also-ran,n.落选者；不重要的参与者[红宝书]
alter,v.改变，更改[红宝书]
alternate,a.轮流的，交替的；v.轮流，交替n.候选人，替代性选择[红宝书]
alternative,adj.轮流的，交替的；两者合一的[红宝书]
altruism,n.利他主义；无私[红宝书]
amalgam,n.混合物[红宝书]
amalgamate,v.合并；混合[红宝书]
amass,v.积聚[红宝书]
amateur,n.业余爱好者[红宝书]
ambidextrous,a.十分灵巧的[红宝书]
ambience,n.环境，气氛[红宝书]
ambiguity,n.模棱两可的话，不明确[红宝书]
ambiguous,a.含糊的[红宝书]
ambitious,adj.有抱负的，雄心勃勃的[红宝书]
ambivalent,a.(对人或物)有矛盾看法的[红宝书]
amble,n./v.漫步，缓行[红宝书]
ambush,v.埋伏；伏击[红宝书]
ameliorate,v.改善，改良[红宝书]
amenable,a.愿顺从的，愿接受的[红宝书]
amend,v.修正，(通常向更好的方向)变化[红宝书]
amendment,n.改正，修正；[法]修正案[红宝书]
amiability,n.亲切，友善[红宝书]
amiable,a.（人自身性格）和蔼的，亲切的[红宝书]
amicable,a.（对外界）友好的[红宝书]
amicably,adv.友善的[红宝书]
amity,n.(人或国之间的)友好关系[红宝书]
amnesia,n.健忘症[红宝书]
amnesty,n.大赦，特赦[红宝书]
amorphous,a.无定形的[红宝书]
ample,a.富足的；充足的[红宝书]
amplify,v.放大；详述[红宝书]
amuse,v.使愉快，逗某人笑[红宝书]
anachronistic,a.年代出错的[红宝书]
anaerobic,a.厌氧的[红宝书]
analgesia,n.无痛觉，痛觉丧失[红宝书]
analogous,a.类似的[红宝书]
analogy,n.相似；类比[红宝书]
analogy,n.相似；类比[红宝书]
anarchy,n.无政府;政治上的混乱[红宝书]
anathema,n.被诅咒的人；宗教意义的诅咒[红宝书]
anatomical,a.解剖学的[红宝书]
ancestor,n.祖先，祖宗[红宝书]
ancestral,a.祖先的[红宝书]
ancillary,a.辅助的；n.助手[红宝书]
anecdotal,adj.轶事的，趣闻的[红宝书]
anesthetic,n.麻醉剂；a.麻醉的[红宝书]
anguish,n.极大痛苦[红宝书]
angular,a.有角的；(指人)瘦削的[红宝书]
angular,a.有角的；(指人)瘦削的[红宝书]
animadvert,v.苛责，非难[红宝书]
animate,a.活的，有生命的；v.赋予生命[红宝书]
animated,a.活泼的，生动的[红宝书]
animation,n.活泼，有生气；卡通制作[红宝书]
animosity,n.憎恶，仇恨[红宝书]
animus,n.敌意，憎恨[红宝书]
anneal,v.使（金属、玻璃等）退火；使加强，使变硬[红宝书]
annex,v.兼并，附加[红宝书]
annihilate,v.消灭[红宝书]
annotate,v.注解[红宝书]
announce,v.宣布，发表；通报…的到来[红宝书]
annoy,v.惹恼；打搅，骚扰[红宝书]
annul,v.宣告无效；取消[红宝书]
anomalous,a.反常的；不规则的[红宝书]
anomaly,n.异常，反常[红宝书]
anonymity,n.无名，匿名[红宝书]
antagonism,n.反抗，敌意[红宝书]
antagonistic,adj.敌对的，对抗性的[红宝书]
antagonize,v.使对抗；与…对抗[红宝书]
antecedence,n.居先，优先[红宝书]
antecedent,n.前事；前辈；a.先行的[红宝书]
antedate,v.早于[红宝书]
anterior,a.较早的，以前的[红宝书]
anthem,n.圣歌；赞美歌，国歌[红宝书]
antibiotic,n.抗生素；a.抗菌的[红宝书]
antic,a.古怪的[红宝书]
anticipate,v.预期，期待[红宝书]
anticipatory,a.预想的，预期的[红宝书]
anticlimactic,a.突减的[红宝书]
antidote,n.解毒药[红宝书]
antipathy,n.反感，厌恶[红宝书]
antiquarianism,n.古物研究，好古癖[红宝书]
antiquated,a.陈旧的，过时的[红宝书]
antique,a.古时的，古老的；n.古物，古董[红宝书]
antiquity,n.古；古人；古迹[红宝书]
antiseptic,n.杀菌剂；a.防腐的[红宝书]
antithesis,n.对立；相对[红宝书]
antithetical,adj.相反的，对立的[红宝书]
anvil,n.铁砧[红宝书]
apathetic,a.无感情的；无兴趣的[红宝书]
apex,n.顶点，最高点[红宝书]
aphorism,n.格言[红宝书]
aplomb,n.沉着，镇静[红宝书]
apocryphal,a.假冒的，虚假的[红宝书]
apologize,v.道歉；辩解[红宝书]
apostate,n.背教者；变节者[红宝书]
appall,v.使惊骇，使恐怖[红宝书]
apparition,n.幽灵，神奇的现象[红宝书]
appeal,v.恳求；吸引；上诉[红宝书]
appease,v.使平静，安抚[红宝书]
appetizing,a.美味可口的，促进食欲的[红宝书]
applaud,v.鼓掌表示欢迎或赞赏[红宝书]
applicability,n.适用性，适应性[红宝书]
applicant,n.申请人[红宝书]
apply,v.应用，适用[红宝书]
appoint,v.任命，指定；约会[红宝书]
apportion,v.分配[红宝书]
apposite,a.适当的，恰当的[红宝书]
appraise,v.评价，鉴定[红宝书]
appreciate,v.欣赏；感激[红宝书]
appreciative,adj.赞赏的，感激的[红宝书]
apprehensive,a.敏悟的；害怕的[红宝书]
apprentice,n.学徒[红宝书]
apprise,v.通知，告诉[红宝书]
approach,v.接近，靠近；着手处理；n.方法[红宝书]
approaching,adj.接近的，逼近的[红宝书]
approbation,n.称赞，认可[红宝书]
appropriate,v.拨款；盗用；a.恰当的[红宝书]
approximate,a.大约的，估计的[红宝书]
apron,n.围裙[红宝书]
apropos,a./adv.适宜的(地)；有关[红宝书]
apt,a.易于…的；恰当的；聪明的[红宝书]
aptitude,n.适宜；才能，资质[红宝书]
aquatic,a.水生的，水中的[红宝书]
aquiline,a.鹰的，似鹰的[红宝书]
arable,a.可耕的，适合种植的[红宝书]
arbiter,n.权威人士，泰斗[红宝书]
arbitrary,a.专横的，不理智的[红宝书]
arbitrate,v.仲裁，公断[红宝书]
arboreal,a.树木的[红宝书]
arcane,a.神秘的，秘密的[红宝书]
archaeology,n.考古学[红宝书]
archaic,a.古老的[红宝书]
archer,n.(运动或战争中的)弓箭手，射手[红宝书]
archetype,n.原型；典型例子[红宝书]
archetype,n.原型；典型例子[红宝书]
architect,n.建筑师[红宝书]
architectural,adj.建筑上的，建筑学的[红宝书]
archive,n.档案室[红宝书]
ardent,a.热心的，热烈的[红宝书]
arduous,a.费力的，艰难的[红宝书]
argumentative,a.好争辩的，好争吵的[红宝书]
arid,a.干旱的；枯燥的[红宝书]
aristocracy,n.贵族；贵族政府，贵族统治[红宝书]
aristocratic,adj.贵族化的[红宝书]
armored,a.披甲的，装甲的[红宝书]
aroma,n.芳香，香气[红宝书]
aromatic,a.芬芳的，芳香的[红宝书]
arouse,v.唤醒；激发[红宝书]
arraign,v.传讯；指责[红宝书]
arrant,a.完全的，彻底的；极坏的，臭名昭著的[红宝书]
array,v.部署；n.陈列；大批[红宝书]
arrest,v.依法逮捕；阻止，抑制[红宝书]
arresting,a.显著的，引人注意的[红宝书]
arrogant,a.傲慢的，自大的[红宝书]
arson,n.纵火，放火[红宝书]
articulate,v.清楚说话；连接[红宝书]
artifact,n.人工制品[红宝书]
artifice,n.巧办法；诡计[红宝书]
artificial,a.人造的，假的[红宝书]
artisan,n.技工[红宝书]
artistry,n.艺术技巧[红宝书]
artless,a.粗俗的；自然的[红宝书]
ascent,n.上升，攀登；提高，提升[红宝书]
ascetic,a.禁欲的；n.苦行者[红宝书]
asceticism,n.禁欲主义[红宝书]
ascribe,v.归功于；归咎于[红宝书]
aseptic,a.洁净的；无菌的[红宝书]
ashen,a.灰色的，苍白的[红宝书]
asinine,a.愚笨的[红宝书]
askance,adv.斜视地[红宝书]
askew,a./adv.歪斜的[红宝书]
aspect,n.(问题等的)方面；面貌，外表[红宝书]
aspen,n.白杨[红宝书]
aspersion,n.诽谤，中伤[红宝书]
aspirant,n.有抱负者[红宝书]
aspiration,n.抱负，热望[红宝书]
aspire,v.向往，有志于[红宝书]
assail,v.(评论)抨击；猛攻[红宝书]
assault,n.突然袭击；猛袭[红宝书]
assemble,v.集合，聚集；装配[红宝书]
assent,v.同意，赞成[红宝书]
assert,v.断言，主张[红宝书]
assertion,n.断言，声明，主张[红宝书]
assertive,a.肯定的；断定的[红宝书]
assess,v.确定，评定；估计…的质量[红宝书]
assessment,n.估计，评价[红宝书]
assiduous,a.勤勉的；专心的[红宝书]
assimilate,v.同化，吸收[红宝书]
associate,a.联合的；n.合伙人；v.将人或事物联系起来[红宝书]
assoil,v.赦免，释放，补偿[红宝书]
assorted,a.混杂的[红宝书]
assuage,v.缓和，减轻[红宝书]
assume,v.假定；承担[红宝书]
assuming,a.傲慢的，自大的[红宝书]
assure,v.向某人保证，确信[红宝书]
assuredness,n.自信；确定[红宝书]
asterisk,n.星号[红宝书]
asteroid,n.小行星[红宝书]
astigmatic,a.散光的，乱视的[红宝书]
astound,v.使震惊[红宝书]
astounding,adj.令人震惊的[红宝书]
astray,a.迷路的，误入歧途的[红宝书]
astrology,n.占星术；占星学[红宝书]
astronomical,a.极大的，天文学的[红宝书]
astute,a.机敏的，精明的[红宝书]
asunder,a./adv.分离的；化为碎片[红宝书]
asymmetric,a.不对称的[红宝书]
atheism,n.无神论，不信神[红宝书]
atheist,n.无神论者[红宝书]
atomic,a.原子的[红宝书]
atonal,a.(音乐)无调的[红宝书]
atone,v.赎罪，补偿[红宝书]
atonement,n.弥补[红宝书]
atrocious,adj.残忍的，凶残的[红宝书]
atrocity,n.残暴，暴行[红宝书]
atrophy,n.萎缩，衰退[红宝书]
attach,v.将某物系在(另一物)上[红宝书]
attenuate,v.变薄；减弱[红宝书]
attenuation,n.变瘦，缩小，减弱[红宝书]
attest,(to)v.证明[红宝书]
attire,v.使穿衣；打扮 n.盛装，服装[红宝书]
attribute,n.属性，品质；v.把…归于[红宝书]
attrition,n.摩擦，磨损[红宝书]
attune,(to)v.使调和[红宝书]
audacious,a.大胆的；愚勇的[红宝书]
audible,adj.听得见的[红宝书]
audience,n.观众，听众[红宝书]
audit,v.审计，核对；旁听[红宝书]
augment,v.增大，增值[红宝书]
augment,v.增大，增值[红宝书]
augury,n.预言，征兆，占卜[红宝书]
august,a.威严的，高贵的[红宝书]
auspices,n.资助，赞助[红宝书]
auspicious,a.幸运的；吉兆的[红宝书]
austere,a.朴素的[红宝书]
austerity,n.朴素，艰苦[红宝书]
authentic,a.真正的；法律证实的[红宝书]
authenticate,v.证明…是真实的[红宝书]
authoritative,a.权威的，官方的；专断的[红宝书]
authorization,n.授权，认可[红宝书]
autobiographical,adj.自传的，自传体的[红宝书]
autobiography,n.自传[红宝书]
autocracy,n.独裁政府[红宝书]
autocrat,n.独裁者[红宝书]
autograph,n.亲笔稿，手迹 a.亲笔的[红宝书]
automated,a.自动的[红宝书]
automation,n.自动装置[红宝书]
automotive,a.汽车的，自动的[红宝书]
autonomous,a.自治的[红宝书]
autonomy,n.自治，独立[红宝书]
auxiliary,a.辅助的，协助的[红宝书]
avarice,n.贪财，贪婪[红宝书]
avaricious,a.贪婪的，贪心的[红宝书]
aver,v.极力声明；断言；确证[红宝书]
averse,a.不愿的;反对的[红宝书]
aversion,n.嫌恶，反感[红宝书]
avert,v.避免，防止；避开[红宝书]
avid,a.渴望的；热心的[红宝书]
avocation,n.副业；嗜好[红宝书]
avocational,a.副业的，嗜好的[红宝书]
avoid,v.避开，躲避[红宝书]
avow,v.承认；公开宣称[红宝书]
awe,n./v.敬畏[红宝书]
awe-inspiring,a.令人敬畏的[红宝书]
awe-struck,a.充满敬畏的[红宝书]
awkward,a.笨拙的；难用的；不便的[红宝书]
awry,a.扭曲的，走样的[红宝书]
axiom,n.公理；定理[红宝书]
azure,n.天蓝色 a.蔚蓝的[红宝书]
backdrop,n.(事情的)背景；背景幕布[红宝书]
backset,n.倒退[红宝书]
backside,v.故态复萌[红宝书]
bacterium,n.细菌[红宝书]
badge,n.徽章(如校徽等)[红宝书]
badger,n.獾；v.一再烦扰，一再要求[红宝书]
badinage,n.开玩笑，打趣[红宝书]
baffle,v.使困惑，难倒[红宝书]
bait,n.诱饵；v.逗弄；激怒[红宝书]
balderdash,n.胡言乱语，废话[红宝书]
bale,n.大包裹；灾祸，不幸[红宝书]
balk,n.大方木料；v.妨碍；(因困难等)不愿前进或从事某事[红宝书]
ballad,n.歌谣，小曲[红宝书]
ballot,n./v.投票[红宝书]
ballyhoo,n.喧闹，呐喊 v.大肆宣传，大吹大擂[红宝书]
balm,n.香油，药膏；镇痛剂[红宝书]
balmy,a.(气候)温和的；芳香的[红宝书]
balse,a.厌倦享乐的，玩厌了得[红宝书]
bamboozle,v.欺骗，隐瞒[红宝书]
ban,n.禁令[红宝书]
banal,a.陈腐的，乏味的[红宝书]
bane,n.祸根[红宝书]
banish,v.放逐某人[红宝书]
banter,n.打趣，玩笑[红宝书]
bar,v.禁止，阻挡；n.条，棒；酒吧[红宝书]
barbarous,a.野蛮的；残暴的[红宝书]
bare,v.暴露；a.赤裸的[红宝书]
barefaced,a.厚颜无耻的，公然的[红宝书]
bargain,n.交易; 物美价廉的东西；v.讨价还价[红宝书]
barn,n.谷仓[红宝书]
baroque,n./a.(艺术、建筑等)过分雕琢(的)；（艺术）巴洛克[红宝书]
barren,a.不育的；贫瘠的；不结果实的[红宝书]
barrier,n.路障；障碍[红宝书]
barrister,n.出庭律师，律师[红宝书]
barter,v.易货贸易[红宝书]
base,a.卑鄙的[红宝书]
bashfulness,n.羞怯[红宝书]
bask,v.晒太阳，取暖[红宝书]
bastion,n.堡垒，防御工事[红宝书]
bawl,v.大叫，大喊[红宝书]
bazaar,n.集市，商店集中区[红宝书]
beacon,n.烽火；灯塔[红宝书]
beaded,a.以珠装饰的[红宝书]
beam,n.(房屋等)大梁；光线[红宝书]
bearing,n.关系，意义；方位[红宝书]
beatific,a.幸福的，快乐的[红宝书]
beckon,v.召唤，示意[红宝书]
bedraggled,a.弄湿的；凌乱不堪的[红宝书]
befoul,v.弄脏，诽谤[红宝书]
befriend,a.以朋友态度对待的[红宝书]
befuddle,v.使迷惑不解，使酒醉昏迷[红宝书]
beget,v.产生，引起[红宝书]
begrudge,v.吝啬，勉强给[红宝书]
behold,v.注视，看见[红宝书]
beholden,a.感谢；欠人情[红宝书]
behoove,v.理应，有义务[红宝书]
belabor,v.过分冗长地做或说；痛打[红宝书]
beleaguer,v.围攻；骚扰[红宝书]
belie,v.掩饰；证明为假[红宝书]
believable,adj.可信的[红宝书]
belittle,v.轻视，贬抑[红宝书]
bellicose,a.好战的，好斗的[红宝书]
belligerence,n.交战；好战性，斗争性[红宝书]
belligerent,adj.发动战争的；好斗的，好挑衅的[红宝书]
bellow,v.咆哮，吼叫[红宝书]
belongings,n.所有物，财产[红宝书]
bemuse,v.使迷惑[红宝书]
bemused,a.茫然的，困惑的[红宝书]
benefactor,n.行善者，捐助者[红宝书]
beneficent,a.慈爱的；有益的[红宝书]
beneficiary,n.受益人[红宝书]
benevolent,a.善心的，仁心的[红宝书]
benign,a.（病）良性的；亲切和蔼的；慈祥的[红宝书]
berate,v.猛烈责骂[红宝书]
bereave,v.夺去，丧亲[红宝书]
berserk,a.狂怒的，狂暴的[红宝书]
beseech,v.恳求[红宝书]
beset,v.镶嵌；困扰[红宝书]
besiege,v.围攻，困扰[红宝书]
besmirch,v.诽谤[红宝书]
besot,v.使沉醉，使糊涂[红宝书]
bestow,v.给予，赐赠[红宝书]
betoken,v.预示，表示[红宝书]
betray,v.背叛；暴露[红宝书]
bewilder,v.迷惑，混乱[红宝书]
bewildering,a.令人迷惑的；费解的[红宝书]
bias,n.偏见  v.使有偏见[红宝书]
bibliomania,n.藏书癖[红宝书]
bicker,v.为小事争吵[红宝书]
bid,v.命令；出价，投标[红宝书]
bide,v.等待，逗留[红宝书]
bifurcate,v.分为两支，分叉[红宝书]
bigot,n.(宗教、政治等的)盲信者；心胸狭窄者[红宝书]
bilateral,a.两边的；双边的[红宝书]
bile,n.胆汁；愤怒[红宝书]
bilingual,a.(说)两种语言的[红宝书]
bilk,v.躲债；骗取[红宝书]
billion,num.十亿[红宝书]
bin,n.大箱子[红宝书]
birthright,n.与生俱来的权利[红宝书]
bizarre,a.奇异的，古怪的[红宝书]
blackball,v.投票反对；排斥[红宝书]
blackmail,v./n.  敲诈，勒索[红宝书]
blade,n.刀锋，刀口[红宝书]
blameworthy,a.该谴责的，有过失的[红宝书]
blanch,v.使变白；使(脸色)变苍白[红宝书]
bland,a.(人)情绪平稳的；(食物)无味的[红宝书]
blandishment,n.奉承，讨好[红宝书]
blare,v.高声发出[红宝书]
blasphemy,n.亵渎，渎神[红宝书]
blatant,a.厚颜无耻的；显眼的；炫耀的[红宝书]
blather,v.喋喋不休地胡说，唠叨[红宝书]
blazing,a.炽热的，闪耀的[红宝书]
bleach,v.去色，漂白；n.漂白剂，漂白的行为[红宝书]
bleak,a.寒冷的；阴沉的；阴郁的，暗淡的[红宝书]
blear,v.使模糊 a.模糊的[红宝书]
bleary,adj.视线模糊的，朦胧的[红宝书]
blemish,v.损害；玷污；n.瑕疵，缺点[红宝书]
blighted,a.枯萎的；衰老的[红宝书]
blindness,n.失明[红宝书]
bliss,n.狂喜；福佑，天赐的福[红宝书]
blissful,a.极幸福的[红宝书]
blithe,a.快乐的，无忧无虑的[红宝书]
bloated,a.肿胀的；傲慢的[红宝书]
blockade,v./n.封锁[红宝书]
blockage,n.障碍物[红宝书]
blockbuster,n.巨型炸弹；一鸣惊人的事物[红宝书]
blooming,a.有花的；精力旺盛的[红宝书]
blossom,n.花 v.（植物）开花[红宝书]
blueprint,n.蓝图；方案[红宝书]
bluff,n.虚张声势；悬崖峭壁[红宝书]
blunt,a.钝的；直率的；v.变钝[红宝书]
blur,n.模糊不清的事物；v.使…模糊[红宝书]
boast,v./n.自夸[红宝书]
boastfulness,n.自吹自擂；浮夸[红宝书]
bob,v.轻拍，轻叩；使上下快速摆动[红宝书]
bode,v.预示[红宝书]
boding,n.凶兆，前兆，预感 a.凶兆的，先兆的[红宝书]
boggle,v.犹豫；退缩[红宝书]
bogus,a.假装的，假的[红宝书]
boisterous,a.喧闹的；猛烈的[红宝书]
bolster,n.枕垫；v.支持，鼓励[红宝书]
bombast,n.高调，夸大之辞[红宝书]
bombastic,a.夸夸其谈的[红宝书]
bonanza,n.富矿脉，贵金属矿[红宝书]
bondage,n.奴役，束缚[红宝书]
bonhomie,n.好性情，和蔼[红宝书]
bonny,a.健美的，漂亮的[红宝书]
boo,v.发出嘘声 [红宝书]
boom,n.繁荣昌盛时期；v.发出深沉有回响的声音[红宝书]
boon,n.恩惠，天赐福利[红宝书]
boor,n.举止粗野的人；乡下人[红宝书]
boost,v.往上推；增加，提高[红宝书]
bootless,a.无益处的；无用的[红宝书]
boreal,a.北方的，北风的[红宝书]
boredom,n.厌烦；令人厌烦的事物[红宝书]
boring,a.无趣的，乏味的[红宝书]
bouffant,a.蓬松的；鼓胀的[红宝书]
bough,n.大树枝[红宝书]
boulder,n.巨砾[红宝书]
bouncing,a.活泼的；健康的[红宝书]
boundless,a.无限的，无边无际的[红宝书]
bounteous,a.慷慨的；丰富的[红宝书]
bouquet,n.花束；芳香[红宝书]
bovine,a.（似）牛的；迟钝的[红宝书]
bowdlerize,v.删除，删改[红宝书]
bowlegged,a.弯脚的，弓形腿的[红宝书]
brace,v.支撑，加固；n.支撑物[红宝书]
bracelet,n.手镯，臂镯[红宝书]
bracing,a.令人振奋的[红宝书]
brackish,a.微咸的；难吃的[红宝书]
brag,v.吹嘘[红宝书]
braggart,n.吹牛者[红宝书]
