begrudge,"v.吝啬，勉强给[红宝书]"
subsist,"v.生存下去；继续存在；维持生活[红宝书]"
submit,"v.屈服；提交，呈递[红宝书]"
subside,"下陷，下沉，减弱：tend downward"
subsidy,"补助金，津贴：monetary support"
reversion,"n.恢复，复原；逆转[红宝书]"
aversion,"非常讨厌，极厌恶：dislike; 令人厌恶的事物：someone that is hated"
revulsion,"n.厌恶，憎恨；剧变[红宝书]"
doting,"老糊涂的, 溺爱的，偏爱的 v.溺爱，宠爱，过分地喜爱( dote的现在分词 ) "
noting,"1.n. 注释，注释法；公证文件；提示 2.v. 记录，注解，注意（note的现在分词）[新经济人高频]"
Boeing,"1.n. 波音（客机）[新经济人高频]"
boding,"n.凶兆，前兆，预感 a.凶兆的，先兆的[红宝书]"
boring,"a.无趣的，乏味的[红宝书]"
jolting,"a.令人震惊的[红宝书]"
notions,"1.n. 观念（notion的复数）；小商品[新经济人高频]"
sting,"v.刺痛；叮螫；n.螫刺[红宝书]"
wooing,"1.vt. 追求；招致；向…求爱；恳求 2.vi. 求爱；恳求[新经济人高频]"
brass,"钱, 黄铜饰品（尤指马挽具上的黄铜圆片） [冶]把…包铜, 〈口〉无耻地胡搞 "
brash,"愚勇的，鲁莽的：foolishly adventurous; 缺乏判断力的，不明智的：poor judgment"
bash,"猛击：forceful blow；攻击，用力击打：strike violently；抨击，严厉批评：criticize harshly"
crash,"v.猛撞；猛冲直闯；撞碎[红宝书]"
rash,"使稀薄：make rare"
rake,"放荡的男人, 倾斜度 扫视, 搜寻 "
Lake,"1.n. 湖；深红色颜料；胭脂红 2.vt. （使）血球溶解 3.vi. （使）血球溶解 4.n. (Lake)人名；(德、塞、瑞典)拉克；(英)莱克[新经济人高频]"
fake,"v.伪造，佯装；adj.假的[红宝书]"
sufficient,"a.足够的[红宝书]"
insufficient,"a.不足的[红宝书]"
deficient,"adj.有缺点的；缺少的；不足的[红宝书]"
proficient,"熟练的，精通的：advanced competence"
premise,"n.(推理所依据的)前提[红宝书]"
precise,"a.精确的[红宝书]"
demise,"1.n. 死亡，终止；转让；传位 2.vt. 遗赠；禅让[新经济人高频]"
premiere,"n./v.(电影，戏剧)首次公演[红宝书]"
premium,"n.保险费；奖金[红宝书]"
preside,"v.担任主席；负责；指挥[红宝书]"
remiss,"疏忽的，不留心的：carelessness"
revise,"更改，修正：improve"
exhort,"敦促，力劝：urge strong"
extort,"勒索：force, intimidation"
escort,"护卫队，护送者：accompanying another；同行，护送：go along with"
exert,"v.运用(力量等)，形式，施加[红宝书]"
enjoin,"v.命令，吩咐[红宝书]"
conjoin,"v.使结合[红宝书]"
enjoying,"1.享受 2.享有 3.欣赏（enjoy的现在分词）[新经济人高频]"
enjoys,"1.vt. 欣赏，享受；喜爱；使过得快活[新经济人高频]"
rejoin,"v.回答，答辩；重新加入[红宝书]"
petition,"请愿，正式的申请，申请书：supplication or request；（尤指正式地）请求：,make a request"
partition,"分割，划分：dividing"
petitioner,"n.请愿人[红宝书]"
potation,"n.饮，喝；饮料(尤指酒)[红宝书]"
repetition,"n.重复[红宝书]"
enlist,"赢得…的支持或合作, 赞助 应募，入伍, 积极参与 "
counsel,"1.n. 法律顾问；忠告；商议；讨论；决策 2.vt. 建议；劝告 3.vi. 商讨；提出忠告[新经济人高频]"
consul,"n.领事[红宝书]"
provisional,"临时的：temporary"
provision,"n.(粮食)供应；(法律等)条款[红宝书]"
prevision,"n.预知，先见[红宝书]"
