obsequious,"谄媚的，奴性的：fawning attentiveness"
quibble,"吹毛求疵：criticize, cavil；牵强之词：微不足道的差别或不切中要点的异议，小反对：minor objection"
nibble,"准确，精准：careful details；细微之处：fine point"
rubble,"1.n. 碎石，碎砖；粗石堆[新经济人高频]"
squabble,"口角，小争吵：quarrel"
bridle,"限制"
abridge,"缩短，缩小：shorten；在不改变本意的条件下删减词语，缩写：shorten"
bide,"v.等待，逗留[红宝书]"
bile,"n.胆汁；愤怒[红宝书]"
bribe,"贿赂，收买：give, money"
brill,"1.n. 一种可食用的欧洲比目鱼；鲽类鱼 2.n. (Brill)人名；(英、法、德、西、瑞典、俄、罗、匈)布里尔[新经济人高频]"
bristle,"怒不可遏，咆哮：anger; 供应充足，充满：copiously"
brittle,"易碎的，脆弱的，易坏的：broken; 不热心的，不真心的：lacking in friendliness"
idle,"闲置的，未使用的：not turned to use；懒散的：lazy；懒散度日，无所事事：without working"
ridge,"n.脊(如屋脊，山脊等)，隆起物[红宝书]"
rifle,"n.步枪；v.搜查并抢劫[红宝书]"
rile,"刺激，惹怒：make agitated"
trifle,"不重要的事：little importance or value；不正经地对待，玩弄：without serious intent"
chortle,"v.开心地笑，咯咯地笑[红宝书]"
chorale,"赞美诗：hymn or psalm；合唱班，合唱团：group of singers"
hurtle,"v.呼啸而过，快速通过；猛投，用力投掷[红宝书]"
guffaw,"n./v.哄笑，大笑[红宝书]"
peccadillo,"n.轻罪，小过失 "
nary,"adj.连…也没有的 "
wary,"小心的，机警的，谨慎的：caution"
warp,"使偏向：turn；扭曲，变形：twist；曲解：alter the meaning"
wavy,"a.波状的，多浪的；波动起伏的[红宝书]"
waxy,"a.像蜡的，苍白的，光滑的[红宝书]"
weary,"a.疲劳的，令人厌倦的；v.使厌烦，使疲倦[红宝书]"
wiry,"a.瘦而结实的[红宝书]"
wry,"扭曲的：twisted, bent；坚持错误的：stubborn to wrong"
wagging,"adj.<医>（左右）摆动，摇摆，摇动 v.（使）摇动，摇摆( wag的现在分词 ) "
untenable,"防守不住的，站不住脚的：defended"
tenable,"有据可依的，无懈可击的：capable defended, reasonable"
blanch,"v.使变白；使(脸色)变苍白[红宝书]"
Planck,"1.n. 普朗克（德国物理学家）[新经济人高频]"
batch,"一批次的量：unit; 一小群人：small number of persons"
beach,"1.n. 海滩；湖滨 2.vt. 将…拖上岸 3.vi. 搁浅；定居 4.n. (Beach)人名；(英)比奇[新经济人高频]"
bland,"味道平淡的，不刺激的：soothing; 无趣的：dull; 温和的，和蔼的：not harsh"
bleach,"v.去色，漂白；n.漂白剂，漂白的行为[红宝书]"
clench,"v.握紧；咬紧（牙关等）[红宝书]"
clinch,"v.钉牢；最终解决[红宝书]"
flinch,"畏缩；退缩：draw back"
glance,"v./n.一瞥[红宝书]"
lance,"长矛，标枪：long straight handle and sharp head or blade；刺穿，刺破：penetrate"
mollify,"平息，抚慰，缓和：calm"
modify,"v.修改，变更[红宝书]"
mortify,"v.使屈辱，使痛心[红宝书]"
nullify,"v.使无效，取消[红宝书]"
contemplative,"adj.沉思的，出神的（尤指感觉上帝同在的） "
contemplative,"adj.沉思的 n.沉思者[红宝书]"
contemplate,"沉思，仔细考虑：consider"
contemplation,"n.注视，凝视；意图；期望[红宝书]"
conservative,"守旧的，不愿改变的：oppose change；不招摇的，低调的：not showy；谨慎小心的：close attentiveness"
contemptible,"a.令人轻视的[红宝书]"
incendiary,"煽动者：person who stirs up；煽动性的：tending to inflame"
fracking,"液压破碎法（利用高压将水、化学物质和沙打到地下以获取天然气的方法，这样做会污染了地下水，从而导致雨水也受影响） "
cracking,"1.n. 破裂；分馏 2.v. 破裂；打开；变声（crack的ing形式） 3.adj. 重大的；敏捷的；出色的 4.adv. 非常；极其[新经济人高频]"
bracing,"令人振奋的，给人带来活力的：giving strength"
backyard,"n.后院 "
irrevocably,"adv.不能取消地，不能撤回地 "
irrevocable,"a.无法取消的[红宝书]"
irradicable,"不能根除的：impossible destroy"
irreducible,"（数）不可约分的：incapable factored"
irrefutable,"a.无可辩驳的，毋庸置疑的[红宝书]"
irreparable,"a.不能挽回的，无法弥补的[红宝书]"
wanton,"a.无节制的，肆无忌惮的；嬉戏的，淘气的[红宝书]"
Santo,"1.n. 圣者像；圣者 2.adj. 神圣的[新经济人高频]"
Yangon,"1.n. 仰光（缅甸首都，等于Rangoon）[新经济人高频]"
canon," 准则，标准：standard, criterion; 真经，正典：authentic"
canyon,"n.峡谷[红宝书]"
want,"短缺：lacking；渴望：desire"
wanting,"未出现的，缺少的：not present；未达到要求的：not being up to standards"
plunder,"v.抢劫，掠夺[红宝书]"
blunder,"过失：error, mistake; 在···方面犯了很愚蠢且通常很严重的错误，糟蹋：make a stupid, error; 蹒跚：unsteadily"
asunder,"分离成多部分或多片地：separate parts, pieces; 分离地：apart"
flounder,"笨拙地行动，挣扎：act clumsily"
founder,"建立者：one establishes；完败：fail utterly；沉没：become submerged"
pander,"v.怂恿，迎合(不良欲望)[红宝书]"
plodder,"行走缓慢的人：moves slowly"
plumber,"n.管子工，铅管工[红宝书]"
plunge,"突然下降：descend suddenly；插入，刺入：penetrate"
ponder,"v.仔细考虑[红宝书]"
slander,"v./n.诽谤，诋毁[红宝书]"
sunder,"分裂，分离：break apart"
demure,"a.严肃的，矜持的[红宝书]"
demur,"表示异议，反对：opposition, objection；犹豫：doubt acceptability qualm"
bemuse,"v.使迷惑[红宝书]"
deduce,"v.演绎，推断[红宝书]"
defuse,"抚慰，减轻：make less tense"
delude,"v.欺骗，哄骗[红宝书]"
deluge,"大暴雨：drenching rain；大量：great flow"
deluxe,"a.豪华的，华丽的[红宝书]"
demise,"1.n. 死亡，终止；转让；传位 2.vt. 遗赠；禅让[新经济人高频]"
demote,"降职，降级：a lower grade"
denture,"n.假牙[红宝书]"
denude,"脱去，使赤裸：bare"
depute,"v.派…为代表或代理[红宝书]"
immure,"监禁，禁闭；使闭门不出：confine"
secure,"a.安全的；稳固的；v.握紧，关牢；使安全[红宝书]"
tenure,"n.占有期，任期；终身职位[红宝书]"
grotesque,"难看的：unpleasant"
